aalib 1.4rc5-16
haskell-invariant 0.6.1-10
haskell-iproute 1.7.12-60
haskell-ipynb 0.2-93
haskell-jira-wiki-markup 1.5.1-1
haskell-juicypixels 3.3.8-10
haskell-kan-extensions 5.2.5-61
haskell-lens 5.2.2-11
haskell-lexer 1.1.1-1
haskell-libmpd 0.10.0.0-131
haskell-libyaml 0.1.2-298
haskell-lift-type 0.1.1.1-1
haskell-lifted-async 0.10.2.4-9
haskell-lifted-base 0.2.3.12-246
haskell-lpeg 1.0.4-2
haskell-lua 2.2.1-29
haskell-lukko 0.1.1.3-156
haskell-megaparsec 9.3.1-2
haskell-memory 0.17.0-46
haskell-microlens 0.4.13.1-1
haskell-microlens-mtl 0.2.0.3-1
haskell-microlens-th 0.4.3.13-1
haskell-mime-types 0.1.1.0-1
haskell-mintty 0.1.4-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-81
haskell-monad-logger 0.3.39-34
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-127
haskell-mustache 2.4.2-4
haskell-neat-interpolation 0.5.1.3-129
haskell-netlink 1.1.1.0-14
haskell-network 3.1.3.0-2
haskell-network-byte-order 0.1.6-157
haskell-network-uri 2.6.4.2-9
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-54
haskell-only 0.1-22
haskell-open-browser 0.2.1.0-28
haskell-optparse-applicative 0.17.0.0-43
haskell-optparse-generic 1.4.9-7
haskell-optparse-simple 0.1.1.4-244
haskell-pandoc 3.1.1-3
haskell-pandoc-lua-engine 0.1.1-7
haskell-pandoc-lua-marshal 0.2.2-7
haskell-pandoc-server 0.1-63
haskell-pandoc-types 1.23-22
haskell-pango 0.13.8.2-50
haskell-pantry 0.5.7-112
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-parser-combinators 1.3.0-4
haskell-path 0.9.2-118
haskell-path-io 1.8.1-6
haskell-path-pieces 0.2.1-30
haskell-pem 0.2.4-263
haskell-persistent 2.13.3.5-65
haskell-persistent-sqlite 2.13.1.0-71
haskell-pretty-hex 1.1-9
haskell-pretty-show 1.10-14
haskell-primitive 0.7.4.0-69
haskell-profunctors 5.6.2-130
haskell-project-template 0.2.1.0-295
haskell-psqueues 0.2.7.3-61
haskell-quickcheck 2.14.3-5
haskell-random 1.2.1.1-106
haskell-recv 0.1.0-8
haskell-reflection 2.1.7-3
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-regex-tdfa 1.3.2.1-1
haskell-resource-pool 0.2.3.2-275
haskell-resourcet 1.2.6-30
haskell-retry 0.9.3.1-5
haskell-rio 0.1.22.0-74
haskell-rio-orphans 0.1.2.0-244
haskell-rio-prettyprint 0.1.4.0-34
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.3-37
haskell-scientific 0.3.7.0-92
haskell-semialign 1.2.0.1-116
haskell-semigroupoids 5.3.7-99
haskell-servant 0.19.1-39
haskell-servant-server 0.19.2-59
haskell-setlocale 1.0.0.10-4
haskell-sha 1.6.4.4-19
haskell-shelly 1.10.0-86
haskell-silently 1.2.5.3-1
haskell-simple-sendfile 0.2.31-9
haskell-singleton-bool 0.1.6-10
haskell-skylighting 0.13.2.1-27
haskell-skylighting-core 0.13.2.1-26
haskell-skylighting-format-ansi 0.1-61
haskell-skylighting-format-blaze-html 0.1.1-57
haskell-skylighting-format-context 0.1.0.2-26
haskell-skylighting-format-latex 0.1-61
haskell-socks 0.6.1-214
haskell-some 1.0.5-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-25
haskell-splitmix 0.1.0.4-134
haskell-statevar 1.2.2-2
haskell-stm-chans 3.0.0.9-1
haskell-streaming-commons 0.2.2.6-4
haskell-strict 0.4.0.1-159
haskell-string-conversions 0.4.0.1-150
haskell-syb 0.7.2.3-5
haskell-system-filepath 0.4.14-227
haskell-tagged 0.8.7-1
haskell-tagsoup 0.14.8-205
haskell-tar 0.5.1.1-151
haskell-tar-conduit 0.3.2-385
haskell-temporary 1.3-520
haskell-texmath 0.12.6-19
haskell-text-conversions 0.3.1.1-40
haskell-text-icu 0.8.0.2-28
haskell-text-metrics 0.3.2-61
haskell-text-short 0.1.5-58
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-22
haskell-th-expand-syns 0.4.11.0-6
haskell-th-lift 0.8.3-1
haskell-th-lift-instances 0.1.20-25
haskell-th-reify-many 0.1.10-83
haskell-these 1.1.1.1-186
haskell-time-compat 1.9.6.1-76
haskell-time-manager 0.0.0-303
haskell-timezone-olson 0.2.1-1
haskell-timezone-series 0.1.13-1
haskell-tls 1.6.0-36
haskell-transformers-base 0.4.6-81
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.11.0-3
haskell-unicode-collation 0.1.3.4-3
haskell-unicode-data 0.4.0.1-12
haskell-unicode-transforms 0.4.0.1-49
haskell-uniplate 1.6.13-185
haskell-unix-compat 0.6-67
haskell-unix-time 0.4.9-3
haskell-unliftio 0.2.24.0-3
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.19.1-68
haskell-utf8-string 1.0.2-129
haskell-uuid-types 1.0.5-96
haskell-vault 0.3.1.5-147
haskell-vector 0.13.0.0-41
haskell-vector-algorithms 0.9.0.1-50
haskell-vector-stream 0.1.0.0-1
haskell-void 0.7.3-182
haskell-wai 3.2.3-192
haskell-wai-app-static 3.1.7.4-146
haskell-wai-cors 0.2.7-309
haskell-wai-extra 3.1.13.0-110
haskell-wai-logger 2.4.0-261
haskell-warp 3.3.25-19
haskell-witherable 0.4.2-57
haskell-word8 0.1.3-22
haskell-x11 1.10.3-1
haskell-x11-xft 0.3.4-47
haskell-x509 1.7.7-36
haskell-x509-store 1.6.9-61
haskell-x509-system 1.6.7-64
haskell-x509-validation 1.6.12-66
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.2-14
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.11.0-17
haskell-zip-archive 0.4.3-5
haskell-zlib 0.6.3.0-39
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
hivex 1.3.23-1
hslua-cli 1.2.0-19
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.371-1
hwloc 2.9.1-1
hyphen 2.8.8-5
iana-etc 20230405-1
icons-in-terminal r93.b12286d-5
icu 72.1-2
imake 1.0.9-1
imath 3.1.9-1
imlib2 1.11.1-1
inetutils 2.4-1
iniparser 4.1-4
intel-compute-runtime 23.09.25812.14-1
intel-gmmlib 22.3.3-1
intel-graphics-compiler 1:1.0.13463.18-1
intel-opencl-clang 15.0.0-1
intel-ucode 20230516.a-1
iproute2 6.3.0-2
iptables 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
iwd 2.5-1
jack2 1.9.22-1
jansson 2.14-2
java-runtime-common 3-5
jemalloc 1:5.3.0-2
jfsutils 1.1.15-8
jq 1.6-4
jre-openjdk 20.0.1.u9-3
jre-openjdk-headless 20.0.1.u9-3
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 23.04.1-1
kactivities 5.106.0-1
kactivities-stats 5.106.0-1
kactivitymanagerd 5.27.5-1
karchive 5.106.0-1
kauth 5.106.0-1
kbd 2.5.1-2
kbookmarks 5.106.0-1
kcmutils 5.106.0-1
kcodecs 5.106.0-1
kcompletion 5.106.0-1
kconfig 5.106.0-1
kconfigwidgets 5.106.0-1
kcoreaddons 5.106.0-1
kcrash 5.106.0-1
kdbusaddons 5.106.0-1
kde-cli-tools 5.27.5.1-1
kde-gtk-config 5.27.5-1
kdeclarative 5.106.0-1
kdecoration 5.27.5-1
kded 5.106.0-1
kdelibs4support 5.106.0-1
kdeplasma-addons 5.27.5-1
kdesu 5.106.0-1
kdnssd 5.106.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.106.0-1
keyutils 1.6.3-2
kfilemetadata 5.106.0-1
kgamma5 5.27.5-1
kglobalaccel 5.106.0-1
